_Code;_Description
CBR00115112;ЙОГУРТ ПИТ.ЭРМИГУРТ 1,2% КЛУБН/БАНАН,290ГР
CBR00115113;ЙОГУРТ ПИТ.ЭРМИГУРТ 1,2% КЛУБН/КИВИ,290ГР
CBR00115114;ЙОГУРТ ПИТ.ЭРМИГУРТ 1,2% ЛЕСН/ЯГОДЫ,290ГР
CBR00115116;ЙОГУРТ ПИТ.ЭРМИГУРТ 1,2% ПЕРС/МАРАКУЙЯ,290ГР
CBR00105883;"Йогурт ""Услада"" Молоч. с соком Абрикоса 1,2% 375 гр"
CBR00105878;ЙОГУРТ УСЛАДА 1,2% МОЛОЧН/СОК/АБРИКОС.95ГР
CBR00105879;ЙОГУРТ УСЛАДА МОЛ.С/СОК/КЛУБН.1,2%,95ГР
CBR00105880;ЙОГУРТ УСЛАДА МОЛ.С/СОК/ЛЕС/ЯГОД.1,2%,95ГР
CBR00105882;ЙОГУРТ УСЛАДА 1,2% МОЛОЧН/СОК/ПЕРС/МАРАК.95ГР
CBR00105885;ЙОГУРТ УСЛАДА 5,1% СЛИВ/СОК/АБРИКОС.105ГР
CBR00105886;ЙОГУРТ УСЛАДА 5,1% СЛИВ/СОК/КЛУБНИКИ.105ГР
CBR00105887;ЙОГУРТ УСЛАДА 5,1% СЛИВ/СОК/ПЕРС/МАРАК.95ГР
CBR00105906;"Йогурт ""Эрмигурт"" Легкий Вишня-Черешня 0,3% 4x115 гр"
CBR00105908;"Йогурт ""Эрмигурт"" Легкий Клубника-Земляника 0,3% 4x115 гр"
CBR00105909;"Йогурт ""Эрмигурт"" Легкий Персик-Маракуйя 0,3% 4x115 гр"
CBR00105905;"Йогурт ""Эрмигурт"" Ананас-Дыня 3 2% 4x115 гр"
CBR00105910;"Йогурт ""Эрмигурт"" Молочный Клубника 3,2% 4x115 гр"
CBR00105912;"Йогурт ""Эрмигурт"" Молочный Персик-Манго 3,2% 4x115 гр"
CBR00105916;"Йогурт ""Эрмигурт"" Экстра слив Клубника-Земляника 7,5% 4х115 гр"
CBR00105917;"Йогурт ""Эрмигурт"" Экстра слив.Тропические фрукты 7,5% 4x115 гр"
CBR00105918;"Йогурт ""Эрмигурт"" Экстра слив.Яблоко-Груша 7,5% 4x115 гр"
CBR00105920;"Йогурт ""Эрмик"" С кальцием Клубника 2,5% 100 гр"
CBR00000787;Эрмигурт Экстра Пудинг Belle Caramel 3,0%100г/24
CBR00000788;Эрмигурт Экстра Пудинг Princess Vanile 3,0%100г/24
CBR00122050;СМЕТАННЫЙ ПРОД.EHRMANN 15% СМЕТАНОВНА,185ГР
CBR00122051;СМЕТАННЫЙ ПРОД.EHRMANN 15% СМЕТАНОВНА,375ГР
CBR00122052;"Сметана ""Сметановна"" терм 20% 185 гр (НЕ ИСПОЛЬЗОВАТЬ)"
CBR00122053;"Сметана ""Сметановна"" терм 20% 375 гр"
CBR00128353;"Шоколад ""А.Коркунов"" Ассорти новогодний 120 гр"
CBR00128352;"Шоколад ""А.Коркунов"" Ассорти новогодний 12*190 гр кор"
CBR00128350;"Шоколад ""А.Коркунов"" Ассорти 250 гр кор"
CBR00128351;"Шоколад ""А.Коркунов"" Ассорти молоч 10*192 гр кор"
CBR00128354;"Шоколад ""А.Коркунов"" Валенсо Молоч Весна 120 гр кор"
CBR00128355;"Шоколад ""А.Коркунов"" Лесной орех 190 гр кор"
CBR00128356;"Шоколад ""А.Коркунов"" Лесной орех и темном креме 190 гр кор"
CBR00128516;"Шоколадный батончик ""Dove"" Молочный c фундуком 40 гр"
CBR00128213;"Шоколад ""Dove"" Молочн.шок 40 гр"
CBR00128215;"Шоколад ""Dove"" Молочный Грец.Орех/Грильяж 100 гр"
CBR00128214;"Шоколад ""Dove"" Молочный 90 гр*16"
CBR00128216;"Шоколад ""Dove"" Молочный Инжир 100 гр"
CBR00128217;ШОКОЛАД DOVE МОЛОЧНЫЙ ФУНДУК,90ГР/16
